# temperature_kelvin sz-expectation-square_hbar
2.00000000e-02 6.22314738e-31
7.01507538e-02 4.71372134e-10
1.20301508e-01 1.39485357e-06
1.70452261e-01 3.74072154e-05
2.20603015e-01 2.24486083e-04
2.70753769e-01 6.91166587e-04
3.20904523e-01 1.48987292e-03
3.71055276e-01 2.59445539e-03
4.21206030e-01 3.93542731e-03
4.71356784e-01 5.43131831e-03
5.21507538e-01 7.00663743e-03
5.71658291e-01 8.59933898e-03
6.21809045e-01 1.01622947e-02
6.71959799e-01 1.16619788e-02
7.22110553e-01 1.30761676e-02
7.72261307e-01 1.43915289e-02
8.22412060e-01 1.56014636e-02
8.72562814e-01 1.67043100e-02
9.22713568e-01 1.77019115e-02
9.72864322e-01 1.85985030e-02
1.02301508e+00 1.93998628e-02
1.07316583e+00 2.01126777e-02
1.12331658e+00 2.07440756e-02
1.17346734e+00 2.13012894e-02
1.22361809e+00 2.17914200e-02
1.27376884e+00 2.22212771e-02
1.32391960e+00 2.25972760e-02
1.37407035e+00 2.29253785e-02
1.42422111e+00 2.32110633e-02
1.47437186e+00 2.34593207e-02
1.52452261e+00 2.36746618e-02
1.57467337e+00 2.38611383e-02
1.62482412e+00 2.40223700e-02
1.67497487e+00 2.41615752e-02
1.72512563e+00 2.42816035e-02
1.77527638e+00 2.43849689e-02
1.82542714e+00 2.44738819e-02
1.87557789e+00 2.45502807e-02
1.92572864e+00 2.46158604e-02
1.97587940e+00 2.46720995e-02
2.02603015e+00 2.47202853e-02
2.07618090e+00 2.47615364e-02
2.12633166e+00 2.47968225e-02
2.17648241e+00 2.48269835e-02
2.22663317e+00 2.48527455e-02
2.27678392e+00 2.48747351e-02
2.32693467e+00 2.48934927e-02
2.37708543e+00 2.49094835e-02
2.42723618e+00 2.49231078e-02
2.47738693e+00 2.49347092e-02
2.52753769e+00 2.49445829e-02
2.57768844e+00 2.49529820e-02
2.62783920e+00 2.49601232e-02
2.67798995e+00 2.49661921e-02
2.72814070e+00 2.49713475e-02
2.77829146e+00 2.49757249e-02
2.82844221e+00 2.49794402e-02
2.87859296e+00 2.49825924e-02
2.92874372e+00 2.49852657e-02
2.97889447e+00 2.49875322e-02
3.02904523e+00 2.49894530e-02
3.07919598e+00 2.49910804e-02
3.12934673e+00 2.49924586e-02
3.17949749e+00 2.49936255e-02
3.22964824e+00 2.49946132e-02
3.27979899e+00 2.49954490e-02
3.32994975e+00 2.49961560e-02
3.38010050e+00 2.49967539e-02
3.43025126e+00 2.49972594e-02
3.48040201e+00 2.49976867e-02
3.53055276e+00 2.49980477e-02
3.58070352e+00 2.49983528e-02
3.63085427e+00 2.49986104e-02
3.68100503e+00 2.49988280e-02
3.73115578e+00 2.49990117e-02
3.78130653e+00 2.49991667e-02
3.83145729e+00 2.49992976e-02
3.88160804e+00 2.49994080e-02
3.93175879e+00 2.49995011e-02
3.98190955e+00 2.49995797e-02
4.03206030e+00 2.49996459e-02
4.08221106e+00 2.49997018e-02
4.13236181e+00 2.49997488e-02
4.18251256e+00 2.49997885e-02
4.23266332e+00 2.49998220e-02
4.28281407e+00 2.49998501e-02
4.33296482e+00 2.49998739e-02
4.38311558e+00 2.49998938e-02
4.43326633e+00 2.49999107e-02
4.48341709e+00 2.49999248e-02
4.53356784e+00 2.49999368e-02
4.58371859e+00 2.49999468e-02
4.63386935e+00 2.49999553e-02
4.68402010e+00 2.49999624e-02
4.73417085e+00 2.49999684e-02
4.78432161e+00 2.49999734e-02
4.83447236e+00 2.49999776e-02
4.88462312e+00 2.49999812e-02
4.93477387e+00 2.49999842e-02
4.98492462e+00 2.49999867e-02
5.03507538e+00 2.49999888e-02
5.08522613e+00 2.49999906e-02
5.13537688e+00 2.49999921e-02
5.18552764e+00 2.49999934e-02
5.23567839e+00 2.49999944e-02
5.28582915e+00 2.49999953e-02
5.33597990e+00 2.49999961e-02
5.38613065e+00 2.49999967e-02
5.43628141e+00 2.49999972e-02
5.48643216e+00 2.49999977e-02
5.53658291e+00 2.49999981e-02
5.58673367e+00 2.49999984e-02
5.63688442e+00 2.49999986e-02
5.68703518e+00 2.49999988e-02
5.73718593e+00 2.49999990e-02
5.78733668e+00 2.49999992e-02
5.83748744e+00 2.49999993e-02
5.88763819e+00 2.49999994e-02
5.93778894e+00 2.49999995e-02
5.98793970e+00 2.49999996e-02
6.03809045e+00 2.49999997e-02
6.08824121e+00 2.49999997e-02
6.13839196e+00 2.49999998e-02
6.18854271e+00 2.49999998e-02
6.23869347e+00 2.49999998e-02
6.28884422e+00 2.49999999e-02
6.33899497e+00 2.49999999e-02
6.38914573e+00 2.49999999e-02
6.43929648e+00 2.49999999e-02
6.48944724e+00 2.49999999e-02
6.53959799e+00 2.49999999e-02
6.58974874e+00 2.50000000e-02
6.63989950e+00 2.50000000e-02
6.69005025e+00 2.50000000e-02
6.74020101e+00 2.50000000e-02
6.79035176e+00 2.50000000e-02
6.84050251e+00 2.50000000e-02
6.89065327e+00 2.50000000e-02
6.94080402e+00 2.50000000e-02
6.99095477e+00 2.50000000e-02
7.04110553e+00 2.50000000e-02
7.09125628e+00 2.50000000e-02
7.14140704e+00 2.50000000e-02
7.19155779e+00 2.50000000e-02
7.24170854e+00 2.50000000e-02
7.29185930e+00 2.50000000e-02
7.34201005e+00 2.50000000e-02
7.39216080e+00 2.50000000e-02
7.44231156e+00 2.50000000e-02
7.49246231e+00 2.50000000e-02
7.54261307e+00 2.50000000e-02
7.59276382e+00 2.50000000e-02
7.64291457e+00 2.50000000e-02
7.69306533e+00 2.50000000e-02
7.74321608e+00 2.50000000e-02
7.79336683e+00 2.50000000e-02
7.84351759e+00 2.50000000e-02
7.89366834e+00 2.50000000e-02
7.94381910e+00 2.50000000e-02
7.99396985e+00 2.50000000e-02
8.04412060e+00 2.50000000e-02
8.09427136e+00 2.50000000e-02
8.14442211e+00 2.50000000e-02
8.19457286e+00 2.50000000e-02
8.24472362e+00 2.50000000e-02
8.29487437e+00 2.50000000e-02
8.34502513e+00 2.50000000e-02
8.39517588e+00 2.50000000e-02
8.44532663e+00 2.50000000e-02
8.49547739e+00 2.50000000e-02
8.54562814e+00 2.50000000e-02
8.59577889e+00 2.50000000e-02
8.64592965e+00 2.50000000e-02
8.69608040e+00 2.50000000e-02
8.74623116e+00 2.50000000e-02
8.79638191e+00 2.50000000e-02
8.84653266e+00 2.50000000e-02
8.89668342e+00 2.50000000e-02
8.94683417e+00 2.50000000e-02
8.99698492e+00 2.50000000e-02
9.04713568e+00 2.50000000e-02
9.09728643e+00 2.50000000e-02
9.14743719e+00 2.50000000e-02
9.19758794e+00 2.50000000e-02
9.24773869e+00 2.50000000e-02
9.29788945e+00 2.50000000e-02
9.34804020e+00 2.50000000e-02
9.39819095e+00 2.50000000e-02
9.44834171e+00 2.50000000e-02
9.49849246e+00 2.50000000e-02
9.54864322e+00 2.50000000e-02
9.59879397e+00 2.50000000e-02
9.64894472e+00 2.50000000e-02
9.69909548e+00 2.50000000e-02
9.74924623e+00 2.50000000e-02
9.79939698e+00 2.50000000e-02
9.84954774e+00 2.50000000e-02
9.89969849e+00 2.50000000e-02
9.94984925e+00 2.50000000e-02
1.00000000e+01 2.50000000e-02
